model,cv_r2_mean,cv_r2_median,cv_r2_min,cv_r2_std,cv_mae_mean,cv_rmse_mean,validation_mae,validation_rmse,validation_r2,eligible,eligibility_reason,training_seconds,mlflow_run_id,original_held_out_test_reused
xgboost_tweedie,0.562968323093822,0.5359200408234039,0.3611606123090324,0.12904222437870005,784.4404646410417,2757.915858473232,772.1350516751615,3350.1474084262322,0.7888050929578021,True,eligible,3.2303463999996893,b8bd4b41dadc4943ba98d89e88a45a7f,False
xgboost_hurdle,0.5447801386076204,0.5634742548653779,0.35995144964983594,0.11690871990238749,796.4391817243959,2823.655526979518,747.7345439508352,2887.3274318162,0.8431271879390349,True,eligible,5.080600199988112,e59e210b287c46caa65de8eb0de91955,False
xgboost_log1p,0.454613464370651,0.4469442672205771,0.36031012109586813,0.05675064040210483,841.0245962342271,3174.1498701716073,893.4311880826467,5210.501097776309,0.4891250701040699,True,eligible,2.7418806000205223,3c8e9a404a4b4e508e541013278f8476,False
xgboost_squared_error,0.3335751242305023,0.3195033697660967,-0.12015502517359167,0.2637800000967203,866.7344040669174,3200.9248473903453,779.2238856140535,2957.749543692407,0.8353815911108351,True,eligible,2.366783300007228,6a27597c712a4e79803f2a545c1388cc,False
ridge_log1p_baseline,-2.482710197830566,0.09293397988896601,-12.738439061015164,5.147025556191057,1034.126074562248,5079.680577198029,915.1995384384833,4446.216469491208,0.6280052473879839,False,mean CV R2 is not positive; minimum fold R2 is catastrophically unstable,0.3074930000002496,790f3a31e6544cf99e7452adecc90eba,False
