algorithm,components,silhouette,davies_bouldin,inertia,bic,training_seconds,mlflow_run_id,held_out_test_accessed
kmeans,3,0.25980256158052245,1.2575428967458777,25299.554648004196,,1.1294989000307396,27d9e026a454453f8002e18d6f6445b3,False
kmeans,4,0.2695078298685839,1.1885446568144191,21853.2631184546,,0.31059929996263236,ccadb140383b4b74974f1e21de6d2b9c,False
kmeans,5,0.27158012987803865,1.0912550799732625,19867.62757153547,,0.26511309994384646,5de0684153b04854ba21cce493b2a6c4,False
kmeans,6,0.28997857218155515,1.0714632717400068,17907.701610348002,,0.25798929994925857,b30c3bcb5f6e4a9599a61bf1cacd289b,False
kmeans,7,0.2973757811088464,1.0693133696185442,16103.418367593726,,0.2772213000571355,02a9378bce2d40e28913c1c34218fd9e,False
kmeans,8,0.3052447809366667,1.1009530648099606,14576.835493499999,,0.2564066000049934,5f777eb2e0fd43adb9021d15cb813c40,False
gmm,2,0.2293243768221699,2.057081172999886,,37928.49507354103,0.10909869999159127,ed3fcdcb15314909911c3fee6f7634b2,False
gmm,3,0.1112614515267197,2.601405331173376,,7565.501171914673,0.22790140006691217,87b346c8152f453c9b11a81e8b7a4a3c,False
gmm,4,0.10141065872577679,2.2217034041769423,,-10325.738906400378,0.2490496999816969,14c6a9c529704a06b5352324503af31f,False
gmm,5,0.10325010707193748,2.297879497889379,,-19172.915873334674,0.25036700000055134,36b9dc7f889a42319841f71e7c73e106,False
gmm,6,0.10535810648730769,2.2493247891507737,,-22387.534408998654,0.21549930004402995,e369c5a875df42fd9e8a07259216b152,False
gmm,7,0.11857336483364271,2.209947917518327,,-30807.42781528144,0.2540834000101313,ca5bf74fdc514776a2cb0ab2c69b61e4,False
gmm,8,0.10867946985549436,2.407517064885666,,-35988.160478457685,0.2612315999576822,7beef101138e4fa7af4415665cc6f3a9,False
