model,cv_r2_mean,cv_mae_mean,cv_rmse_mean,validation_mae,validation_rmse,validation_r2,best_parameters,training_seconds,mlflow_run_id,artifact,target_transform,held_out_test_accessed
ridge,-2.1797938354920285,746.83949686414,4090.8058990163127,475.2176610895913,1083.6206152548364,0.968462927659284,"{""estimator__regressor__model__alpha"": 0.1}",0.3997772999573499,c6dd597003ad441482934337e7598c2a,clv_ridge.joblib,log1p,False
xgboost_regressor,0.3169980681058943,633.5090643412818,3073.337372883983,626.0065210641475,5693.909341061808,0.1292610877026117,"{""estimator__regressor__model__colsample_bytree"": 0.8, ""estimator__regressor__model__learning_rate"": 0.03, ""estimator__regressor__model__max_depth"": 4, ""estimator__regressor__model__n_estimators"": 260, ""estimator__regressor__model__subsample"": 1.0}",6.362677299999632,fed32e4475ef4ecca525c6c26c81ac63,clv_xgboost_regressor.joblib,log1p,False
