partition,pca_1,pca_2,kmeans_segment,gmm_segment
train,0.6573834297386933,0.9140942594386378,4,3
train,1.3600580405150002,0.09674804784153647,3,3
train,-1.1549109488053162,0.10911916012950583,1,2
train,-0.04589004378218775,-0.2893369805070082,3,2
train,0.33416016360102446,0.19464689235308172,3,6
train,0.5738135462791052,-0.3557348625439033,3,0
train,-0.028039717802167866,0.11433746830514291,3,6
train,0.4608163817698701,-0.20713108567091823,3,6
train,0.7565766583563602,-0.8365959616244177,3,0
train,-1.5244244607983999,0.153119873838263,1,2
train,-1.6854718320382331,0.6514409643582822,1,2
train,0.623417542822046,-0.23547971040389082,0,0
train,-0.7094731870822846,0.9474043297345693,4,7
train,0.9509325757685045,0.35551195671031727,3,0
train,2.0786621186683987,-0.49119828096383433,3,0
train,-0.9899918738078224,0.14605459865541587,1,2
train,1.0300567754091956,-0.22569795915440355,3,1
train,0.6931306764447144,0.42142014733495187,3,0
train,0.10357447570293105,-0.4604952717665926,3,6
train,4.228454595380279,-0.6016044471038152,3,4
train,1.700730684095678,0.3252036184801658,0,4
train,1.1324040725694389,1.6684529336897103,4,3
train,-1.6335807377747298,1.6629967134220942,4,7
train,0.10622904372189333,-0.6902264824152096,3,0
train,-1.8449997630453754,0.5726678959198178,1,2
train,-1.0924364897672112,-0.25181122887676544,1,2
train,2.0436544454521646,0.10730608658915868,0,0
train,-0.169001065072798,-0.6191474041955289,3,6
train,-1.7809580064410167,0.47843028563444295,1,7
train,0.15350460278655198,-0.6396897644788587,3,0
train,1.311200788121646,1.0592280646312893,3,3
train,0.7091921964546741,-0.5222469787753466,3,0
train,-1.544485633118831,0.4149814716002735,1,2
train,0.9211922565477679,-0.7219072736669809,3,0
train,0.6339056324610141,-0.3885984053670838,3,6
train,1.0221385011400417,-0.33907473186827825,0,1
train,0.17814324653331542,-0.6412680378879535,3,6
train,-0.14820077699158443,0.8211468082425835,4,5
train,-0.8960653465935374,0.8253825395661414,4,7
train,0.9664235737283259,-0.3939794522648472,0,1
train,1.4400381719241588,-0.32795175217998684,3,0
train,-0.4115141782504942,-0.47935125880132506,3,6
train,-1.536787259415748,0.19715186365746432,1,2
train,1.148548797169727,-0.1444589200339064,3,0
train,0.5190033583385547,0.08034282102023453,3,1
train,2.9628752945219987,1.6794794473482058,3,4
train,-0.3775274941615612,0.32237253457635445,0,1
train,-1.455000481308243,-0.026122571973901346,1,2
train,-0.928017428971344,-0.02476490268167593,1,2
train,0.4728910743169357,0.23872729164739673,3,7
train,0.8130405664408014,-1.1023574503019373,3,1
train,-0.654466461774965,-0.025585835544370376,1,2
train,1.3918587831396354,0.5317789296398666,0,4
train,-0.37686375505741915,0.9250685979077375,4,5
train,1.6448986877617067,-0.7405061994427,3,0
train,0.7103767386063977,-0.5452812410014574,3,6
train,-1.631555116162004,0.8081387139006112,1,2
train,0.6858124019724614,-0.19951267188321273,3,6
train,11.94522626011025,-1.673343843543478,7,4
train,-1.5760557614582469,0.28683946679440087,1,2
train,0.07610158732567832,-0.6027328447818696,3,2
train,-0.04889527699692793,1.3760913541636457,4,5
train,-1.1751405297614816,3.292899247270607,5,7
train,-1.0397282182082361,0.6435492962653974,1,7
train,-1.5179923292963644,1.23901267642145,1,7
train,0.023227261333884572,-0.6424977164234386,3,6
train,-0.6591212263815456,-0.18617322564544384,1,2
train,-0.7513410303218535,2.217092205356267,4,5
train,0.28335496943222543,-0.7044464310439752,3,6
train,1.296661810741017,-1.0337031327756143,2,1
train,-0.25066535970304515,-0.7552950852080423,3,6
train,1.3395759667952902,0.015107721761325653,3,0
train,1.8458607265472866,-0.9444147141962942,3,0
train,-0.8790099460860312,0.8777353901066942,4,5
train,-1.4646844479021428,0.04212560583365553,1,2
train,-0.5819243590091845,0.08646172053838123,1,2
train,0.36893336841375945,0.27589774586151355,4,6
train,1.5193539130562497,-0.08087093738848045,3,4
train,-0.48432397384740955,0.02512757951758412,4,7
train,-1.4671124724105542,0.3049507364509542,1,2
train,1.871690626007592,0.8681061298205246,0,4
train,0.7879299541881741,-0.41400076488282966,3,6
train,1.138349500469372,-0.3805196843570143,3,0
train,1.1605924340057057,0.056701409106171906,4,6
train,1.626203800695645,0.10567200083321995,4,0
train,-0.9259361740839731,0.26658263627231926,1,6
train,0.8274611463797165,-0.6950738436965361,3,0
train,1.1508049364580413,-0.4611823933909161,3,6
train,-1.5391244121390357,0.3134299708021077,1,2
train,0.3109102652945412,-0.5899021433641586,3,0
train,1.0981792500109109,-0.823063800659073,0,0
train,-0.2890722301669206,-0.00664277930996652,4,7
train,-1.726072421920435,0.21004967712512065,1,2
train,-1.6116300723976507,0.10749333413467825,1,2
train,-1.3737360676593282,0.8654213195906238,4,5
train,0.5464700206007129,-1.2807321777287701,2,1
train,-0.05664176540941261,-0.14585453738313103,3,6
train,-1.5395455808248895,1.7354678782722621,4,7
train,-1.3693641083468904,0.24501096185927823,1,2
train,0.4504313678340156,-0.5030998535266697,0,1
train,0.8534364325895821,-0.3277232472402791,3,1
train,1.850272098646378,-0.6927665850666065,0,0
train,0.8514783642741088,0.1339247634472789,4,0
train,-1.3819556948752065,0.01946267862053451,1,2
train,-2.208180914653809,0.6172186127298651,1,2
train,-0.9622455235430887,-0.05070348675630102,1,6
train,1.817439928898738,-0.6524360123014227,0,0
train,-0.6669161975543295,-0.295587881091988,1,2
train,2.3501839568492344,-0.275238727857012,0,0
train,-0.7272297220629931,0.8211791333510567,4,5
train,0.7862167592322428,-0.0019230985421356064,4,7
train,0.11566198344570837,-0.404190473361278,3,0
train,0.850018332471857,-0.8760145640411868,3,6
train,0.7174439098570968,-0.23971274474621262,3,6
train,1.2022156009701264,-1.0470075352360062,3,0
train,0.6785816506028898,-0.23727752174863959,3,6
train,-0.4814356945534681,-0.624370291055354,1,6
train,0.2189293419959525,-0.7514770909813825,3,6
train,1.652057754169891,0.4951651514700956,3,4
train,-1.8991361491259795,0.6413289272323865,1,7
train,-0.5136488163342057,-0.5370805131515337,3,2
train,0.6068547605119027,-0.4291475747231541,2,6
train,0.15456066080673384,0.01795648992009938,3,6
train,-0.31850161967765517,-0.36342938122659013,3,6
train,0.6930600442144027,-0.5855137927195755,2,6
train,0.4184879397963314,-0.4911317694755193,3,6
train,-1.0260506878700049,0.3903295631023574,1,7
train,-1.5590208073941547,0.19806857897599942,1,2
