epoch,train_loss,validation_loss
1,0.5342089041800975,0.5029759935612949
2,0.4855050016226826,0.48604761606278124
3,0.47247855293908975,0.481647989981258
4,0.4621255146033215,0.4791759620458289
5,0.45950775934448834,0.4819602028057582
6,0.4569055426691697,0.4789425689737109
7,0.451628592340367,0.48114181834089786
8,0.4483477442820362,0.48053700768080043
9,0.44921211610277884,0.47846588412063784
10,0.4419844490698976,0.47724046323177305
11,0.4468701936506633,0.47554809786881397
12,0.4417104384696903,0.4757294532745032
13,0.44044645518425635,0.4764671651018919
14,0.4358449518783754,0.47777537965388955
15,0.4258627804867876,0.47802528578316106
16,0.42619162794488463,0.4774990816000658
17,0.4253729001779606,0.4811684846717392
