epoch,train_loss,validation_loss
1,0.9739649739547076,0.9005898704636893
2,0.9068608260404165,0.8860200561469855
3,0.8949442163684999,0.8787069210438145
4,0.8919241942554775,0.8785313662920397
5,0.888413596348634,0.8784831201481135
6,0.8835928877966801,0.876432040857642
7,0.8815058157326406,0.8772688792905723
8,0.8800174201056434,0.8799605184731668
9,0.8790010788548468,0.8743099710554395
10,0.876327369963638,0.8753235014139786
11,0.8741319692209197,0.8742494739651364
12,0.8755174415422298,0.8760349944122504
13,0.8701064616867189,0.8738777116749527
14,0.8691977262374071,0.8770453232525341
15,0.8673156239117309,0.878222055095404
