epoch,train_loss,validation_loss
1,0.9994849535989678,0.8449414566842051
2,0.9490369250508862,0.7797289889135129
3,0.8472318205610563,0.6602739699767285
4,0.7158613432987673,0.5580951008353272
5,0.6143928755846453,0.4794538025104132
6,0.534362351316561,0.4307141439773323
7,0.4817339221109081,0.3866363134024278
8,0.42889925754971403,0.33523728752714604
9,0.37314146771313345,0.2825204984679055
10,0.31975032844883267,0.23351829215844044
11,0.27862049494770585,0.19712127733102064
12,0.24406768503264065,0.171085203031324
13,0.22010555677223398,0.15467571810570688
14,0.20133921864619334,0.14338789149275366
15,0.18747913574319455,0.12847456826032655
16,0.17027206377132187,0.11653598211203624
17,0.15342092768982937,0.10894319891045999
18,0.14199312345113496,0.0973252479760152
19,0.12718352202414193,0.089710475460217
20,0.11512477392845599,0.07889302161263649
21,0.10482258835041103,0.07067565883025326
22,0.09674852126129121,0.06233165618986132
23,0.08893531462445262,0.056989957691443896
24,0.08345788278962517,0.0558227293414247
25,0.08171260166661766,0.054508991439066165
26,0.07646130300968008,0.04612291073100265
27,0.07214972107476124,0.045169602025229974
28,0.06801121455896163,0.043260951298025416
29,0.06547937314985325,0.042635077977116215
30,0.06041444101103781,0.04017523388978285
31,0.05810858486397584,0.033360814911657266
32,0.05404646253988224,0.0336272017452916
33,0.051201458923643334,0.03370801265027645
34,0.05036396176252778,0.03018789717330123
35,0.04788174676137616,0.029833203256933515
36,0.04354971714223215,0.025304908836586777
37,0.038437956435723036,0.025356296625620913
38,0.03701547984317573,0.02313291576171339
39,0.03324173137425207,0.022486205531580428
40,0.029506470521173583,0.02169088652794252
