fold,train_snapshots,validation_snapshots,train_customers,validation_customers,accuracy,precision,recall,f1,roc_auc,confusion_matrix,threshold,validation_loss,best_epoch,positive_weight,training_seconds,mlflow_run_id
1,15551,3852,2075,519,0.7318276220145379,0.4366812227074236,0.5630630630630631,0.49188391539596654,0.7305859123293335,"[[2319, 645], [388, 500]]",0.5,0.8773210020203952,4,2.9640581607818604,3.869560500024818,1824c0acc5e046e99611d39bae98f620
2,15495,3908,2075,519,0.6949846468781986,0.41216730038022814,0.5639958376690947,0.47627416520210897,0.6967665313002833,"[[2174, 773], [419, 542]]",0.5,0.9385895566784127,4,3.0246753692626953,3.633845099946484,de8f8e78351149a6a968760116b04acf
3,15540,3863,2078,516,0.7144706186901372,0.44325971058644326,0.610062893081761,0.513453903837671,0.7455748911964819,"[[2178, 731], [372, 582]]",0.5,0.8860484795221046,4,3.029038190841675,3.621749799931422,34777bef1e3346528e68030e32b0a880
4,15492,3911,2075,519,0.714650984402966,0.4523121387283237,0.6361788617886179,0.5287162162162162,0.7578922479522028,"[[2169, 758], [358, 626]]",0.5,0.8846161372824356,4,3.048079490661621,3.668759200023487,519a57f709c94634aa628037b4d4eeae
5,15534,3869,2073,521,0.7193073145515637,0.47737226277372263,0.638671875,0.5463659147869674,0.7544065451999121,"[[2129, 716], [370, 654]]",0.5,0.9053747050057828,3,3.1019277572631836,4.1446194999152794,1f7e7c7372534f6296fa624471b7996b
