threshold,precision,recall,f_beta
0.03567768651001671,0.5606469002695418,1.0,0.8645054031587698
0.03623887454590333,0.5614035087719298,1.0,0.8648648648648648
0.03906759688961282,0.5621621621621622,1.0,0.8652246256239601
0.04959594750476868,0.5629228687415426,1.0,0.865584685809405
0.050425885172603165,0.5636856368563685,1.0,0.8659450457951706
0.05643793273410302,0.5644504748982361,1.0,0.8663057059558518
0.056663475277906904,0.5652173913043478,1.0,0.8666666666666666
0.05854666468237978,0.5659863945578232,1.0,0.8670279283034599
0.05940229381069442,0.5667574931880109,1.0,0.8673894912427023
0.059669699982709185,0.567530695770805,1.0,0.8677513558614935
0.06172552664660724,0.5683060109289617,1.0,0.8681135225375625
0.06253100026064598,0.5690834473324213,1.0,0.8684759916492693
0.06394832007290156,0.5698630136986301,1.0,0.8688387635756056
0.07000245588711648,0.5706447187928669,1.0,0.8692018386961972
0.0720089747389716,0.5714285714285714,1.0,0.8695652173913042
0.0749572295046485,0.5722145804676754,1.0,0.8699289000418235
0.07898772227538925,0.5730027548209367,1.0,0.8702928870292888
0.0799327376209818,0.5737931034482758,1.0,0.8706571787358728
0.08109492203460356,0.574585635359116,1.0,0.8710217755443885
0.08109526204194731,0.5753803596127247,1.0,0.8713866778382906
0.08208947197412785,0.5761772853185596,1.0,0.8717518860016764
0.08217066229425106,0.5769764216366158,1.0,0.8721174004192871
0.08247091072694623,0.5777777777777777,1.0,0.87248322147651
0.08633813932202371,0.5785813630041725,1.0,0.8728493495593789
0.09185554153174748,0.5793871866295265,1.0,0.873215785054576
0.09279981197774799,0.5801952580195258,1.0,0.873582528349433
0.09305957651329631,0.5810055865921788,1.0,0.8739495798319328
0.09377806188292176,0.5818181818181818,1.0,0.8743169398907105
0.09412373771093549,0.5826330532212886,1.0,0.8746846089150547
0.09600217325580898,0.5820476858345021,0.9975961538461539,0.8729490954985276
0.09927858886117781,0.5828651685393258,0.9975961538461539,0.8733164983164983
0.10023937952066392,0.5836849507735584,0.9975961538461539,0.8736842105263158
0.10027466162514752,0.5845070422535211,0.9975961538461539,0.8740522325189553
0.10403377013419514,0.5853314527503526,0.9975961538461539,0.8744205646860514
0.10541407505621922,0.5861581920903954,0.9975961538461539,0.8747892074198987
0.10591865761533978,0.5855728429985856,0.9951923076923077,0.8730493462673978
0.10713051209349757,0.5864022662889519,0.9951923076923077,0.8734177215189873
0.11701792607675113,0.5872340425531914,0.9951923076923077,0.8737864077669903
0.11851712619629072,0.5880681818181818,0.9951923076923077,0.8741554054054054
0.12179595202081923,0.5889046941678521,0.9951923076923077,0.8745247148288973
0.12246664465912409,0.5897435897435898,0.9951923076923077,0.874894336432798
0.1226604427396523,0.5905848787446505,0.9951923076923077,0.8752642706131079
0.12413691386018329,0.59,0.9927884615384616,0.8735194585448391
0.1258417976857727,0.5908440629470673,0.9927884615384616,0.8738891239949217
0.1259127951428327,0.5916905444126075,0.9927884615384616,0.8742591024555462
0.1275048003906599,0.5925394548063128,0.9927884615384616,0.8746293943244389
0.12781901797518933,0.5933908045977011,0.9927884615384616,0.875
0.12900569003050102,0.5942446043165468,0.9927884615384616,0.8753709198813057
0.1316579727932856,0.5951008645533141,0.9927884615384616,0.8757421543681085
0.13487061183722038,0.5959595959595959,0.9927884615384616,0.8761137038608401
0.13554270557963077,0.596820809248555,0.9927884615384616,0.8764855687606112
0.13606840585124652,0.597684515195369,0.9927884615384616,0.8768577494692145
0.14023174189413254,0.5985507246376811,0.9927884615384616,0.8772302463891247
0.14539878470280196,0.5994194484760522,0.9927884615384616,0.8776030599235017
0.14622227385301081,0.6002906976744186,0.9927884615384616,0.8779761904761905
